"","Popularity","Explicit","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time.Signature","Release.Year","genreSimplified"
"133",82,"true",0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,4,2019,"Other"
"135",69,"false",0.49,0.873,6,-5.861,1,0.0355,0.107,5.19e-06,0.118,0.513,103.272,4,1994,"Both"
"136",55,"false",0.368,0.53,0,-7.242,1,0.102,0.0814,0,0.377,0.325,85.381,4,2010,"Pop"
"137",49,"false",0.708,0.616,5,-10.827,1,0.198,0.445,0,0.299,0.908,177.061,4,2012,"Other"
"138",1,"true",0.746,0.922,10,-5.014,1,0.236,0.246,0,0.515,0.638,86.961,4,2010,"Pop"
"139",19,"false",0.688,0.651,7,-10.397,1,0.112,0.0816,5.27e-06,0.103,0.661,120.943,4,1975,"Pop"
"141",49,"false",0.737,0.669,11,-9.127,0,0.0483,0.281,0.0151,0.11,0.621,111.99,4,2016,"Other"
"142",62,"false",0.864,0.515,0,-6.967,1,0.0367,0.571,7.92e-05,0.0947,0.755,129.048,4,2011,"Pop"
"143",24,"false",0.588,0.665,3,-5.861,1,0.049,0.274,1.21e-05,0.0681,0.697,178.025,4,2009,"Rock"
"144",65,"false",0.452,0.563,4,-6.607,1,0.0272,0.144,0,0.143,0.209,137.715,3,2009,"Both"
"146",68,"false",0.507,0.828,10,-6.023,1,0.0449,0.00711,2.44e-05,0.261,0.489,178.032,4,2021,"Pop"
"147",46,"false",0.444,0.575,5,-8.342,1,0.0439,0.135,3.71e-06,0.122,0.21,177.358,4,1997,"Rock"
"149",32,"false",0.563,0.665,7,-8.161,1,0.0301,0.322,8.47e-06,0.468,0.732,81.092,4,2004,"Rock"
"151",18,"false",0.644,0.824,0,-6.169,1,0.231,0.221,0.0072,0.171,0.424,81.055,4,2012,"Pop"
"153",49,"false",0.751,0.872,6,-4.186,1,0.115,0.12,0,0.235,0.679,123.887,4,2012,"Pop"
"155",85,"false",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3,2017,"Pop"
"157",56,"false",0.777,0.94,8,-5.315,0,0.0407,0.0736,0,0.135,0.749,113.015,4,1996,"Pop"
"158",50,"false",0.53,0.512,8,-7.094,1,0.133,0.0162,7.04e-05,0.128,0.401,196.121,4,2017,"Pop"
"160",3,"false",0.792,0.737,7,-12.668,1,0.0549,0.397,7.42e-05,0.0628,0.952,133.931,4,2014,"Other"
"161",77,"false",0.546,0.814,7,-5.146,1,0.0314,0.023,0,0.0972,0.146,104.98,4,2004,"Rock"
"163",65,"false",0.56,0.958,11,-3.245,1,0.0412,0.0016,4.96e-05,0.0643,0.961,129.984,4,2009,"Rock"
"164",1,"false",0.612,0.876,0,-7.836,1,0.0339,0.0967,4.41e-05,0.0764,0.971,135.106,4,1985,"Both"
"165",45,"false",0.471,0.675,0,-9.07,1,0.0513,0.511,0.019,0.232,0.53,125.313,4,1998,"Pop"
"166",36,"false",0.209,0.945,9,-6.306,1,0.0589,0.00141,2.28e-05,0.9,0.386,184.197,4,1988,"Rock"
"168",80,"false",0.765,0.837,1,-3.113,0,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,4,2012,"Both"
"170",65,"false",0.59,0.805,0,-6.481,1,0.0371,0.137,0,0.0996,0.797,138.514,4,1964,"Rock"
"171",49,"false",0.682,0.836,9,-3.777,1,0.0424,0.0464,3.13e-06,0.0797,0.486,104.984,4,2014,"Pop"
"172",14,"false",0.841,0.748,2,-6.279,1,0.0424,0.248,0,0.0526,0.872,120.859,4,2007,"Rock"
"174",6,"false",0.566,0.429,2,-9.478,1,0.0286,0.457,3.38e-05,0.173,0.325,147.957,4,2009,"Other"
"175",68,"false",0.516,0.15,1,-20.41,1,0.0272,0.13,0.0755,0.122,0.205,97.398,3,1966,"Rock"
"177",70,"false",0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041,4,2022,"Both"
"178",22,"false",0.728,0.912,9,-4.725,0,0.0486,0.0695,0.00796,0.229,0.687,119.991,4,2006,"Other"
"179",3,"false",0.755,0.796,4,-7.017,0,0.0505,0.00773,0.00031,0.0502,0.509,116.877,4,2021,"Pop"
"180",81,"true",0.492,0.673,6,-5.431,1,0.0347,0.413,0,0.137,0.488,203.812,4,2023,"Other"
"181",38,"false",0.433,0.28,5,-12.781,1,0.0378,0.678,0,0.094,0.263,149.519,4,2011,"Other"
"182",37,"false",0.607,0.561,9,-10.099,1,0.0425,0.421,0,0.298,0.841,127.638,3,1996,"Rock"
"184",2,"false",0.527,0.429,8,-12.431,1,0.0321,0.655,0,0.0865,0.277,97.893,4,1988,"Both"
"185",50,"false",0.698,0.882,4,-3.078,0,0.0863,0.127,0,0.15,0.445,106.083,4,2017,"Pop"
"186",72,"true",0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,4,2021,"Pop"
"187",79,"false",0.759,0.548,9,-6.049,0,0.0289,0.0379,0,0.0828,0.75,116.963,4,2019,"Pop"
"188",47,"false",0.669,0.754,10,-12.223,1,0.0279,0.134,0.0069,0.46,0.906,112.683,4,1994,"Both"
"189",48,"false",0.355,0.0922,7,-17.747,1,0.0515,0.918,0.000702,0.106,0.191,65.952,3,1963,"Rock"
"190",44,"false",0.553,0.946,7,-4.249,0,0.0383,0.00106,0.000655,0.368,0.458,135.977,4,2001,"Rock"
"191",54,"false",0.837,0.954,8,-3.512,0,0.0414,0.0933,0.000405,0.143,0.972,127.019,4,2008,"Pop"
"192",75,"false",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4,2019,"Pop"
"193",12,"false",0.754,0.81,11,-9.779,0,0.0741,0.00277,6.17e-06,0.914,0.783,111.484,4,1993,"Other"
"195",25,"false",0.689,0.743,5,-8.483,1,0.0337,0.0215,9.47e-05,0.106,0.644,108.179,4,1995,"Both"
"196",45,"false",0.634,0.587,2,-6.595,1,0.03,0.271,0,0.165,0.623,105.642,4,2002,"Rock"
"197",32,"false",0.863,0.649,11,-7.194,0,0.156,0.196,0,0.782,0.76,91.018,4,2019,"Pop"
"198",76,"false",0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,4,1965,"Rock"
"200",40,"false",0.698,0.66,2,-5.429,0,0.083,0.043,0,0.186,0.351,119.214,4,2019,"Pop"
"201",16,"false",0.585,0.707,6,-4.207,1,0.0511,0.525,3.19e-05,0.144,0.518,163.962,4,2008,"Pop"
"202",13,"false",0.475,0.937,1,-7.53,0,0.102,0.19,1.3e-06,0.0722,0.516,172.566,4,1966,"Rock"
"203",71,"false",0.655,0.606,7,-10.385,1,0.0285,0.0603,0.0789,0.0757,0.765,110.061,4,1975,"Rock"
"204",36,"false",0.648,0.165,4,-16.446,1,0.0348,0.879,0.000216,0.13,0.435,99.585,4,1996,"Other"
"205",61,"false",0.748,0.74,8,-6.01,1,0.0484,0.0107,2.18e-05,0.101,0.518,121.004,4,2021,"Pop"
"207",44,"false",0.755,0.901,9,-3.152,1,0.0893,0.0451,0.0373,0.363,0.959,145.042,4,2008,"Pop"
"208",26,"false",0.578,0.651,8,-6.924,1,0.0424,0.368,0,0.103,0.0931,127.967,4,2016,"Pop"
"209",60,"false",0.697,0.535,4,-6.504,1,0.068,0.247,0,0.569,0.594,82.959,4,2020,"Pop"
"211",49,"false",0.528,0.638,9,-7.193,1,0.0369,0.661,0,0.265,0.816,96.63,4,2006,"Rock"
"212",70,"false",0.75,0.366,8,-10.07,1,0.0321,0.271,9.57e-05,0.106,0.477,91.138,4,1989,"Rock"
"213",8,"false",0.527,0.907,7,-3.549,1,0.202,0.0325,0,0.551,0.238,159.946,4,2003,"Both"
"215",65,"false",0.466,0.763,11,-7.748,0,0.0391,0.0542,0,0.119,0.473,123.539,4,1978,"Other"
"216",65,"false",0.381,0.894,7,-8.638,1,0.037,0.0258,0,0.0251,0.797,205.528,4,1987,"Rock"
"217",61,"false",0.376,0.373,7,-9.184,0,0.0305,0.827,0.832,0.15,0.111,116.074,4,1975,"Both"
"218",15,"false",0.509,0.888,0,-5.853,1,0.148,0.263,0,0.211,0.827,167.586,4,2005,"Other"
"219",35,"false",0.471,0.905,9,-11.798,1,0.0593,0.0319,0.482,0.115,0.541,160.255,4,1987,"Rock"
"221",84,"false",0.446,0.764,10,-5.042,1,0.033,0.00135,0,0.099,0.543,172.094,4,2001,"Rock"
"222",81,"false",0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,4,2017,"Pop"
"227",44,"false",0.497,0.922,0,-4.674,0,0.139,0.0363,0,0.0702,0.496,124.036,4,2015,"Pop"
"229",60,"false",0.585,0.832,5,-5.016,0,0.0814,0.168,5.09e-05,0.0634,0.952,80.614,4,1985,"Rock"
"230",30,"false",0.61,0.914,5,-4.132,1,0.0424,0.0035,1.09e-05,0.0781,0.508,119.912,4,2008,"Pop"
"232",1,"false",0.521,0.712,4,-4.44,1,0.0385,0.311,0,0.384,0.812,118.029,4,2017,"Both"
"234",65,"false",0.674,0.771,7,-5.612,1,0.0246,0.28,0.0318,0.133,0.718,109.618,4,1980,"Rock"
"235",39,"false",0.831,0.511,2,-14.578,0,0.115,0.00343,0.000686,0.0519,0.965,122.038,4,1975,"Other"
"238",38,"false",0.648,0.89,2,-3.834,1,0.0429,0.288,0,0.119,0.808,126.956,4,1991,"Other"
"239",48,"false",0.515,0.426,4,-9.267,0,0.0278,0.0482,0.737,0.121,0.195,129.3,4,2001,"Rock"
"240",10,"false",0.673,0.906,0,-2.891,1,0.0624,0.0242,0.0247,0.0993,0.952,116.969,4,2014,"Pop"
"241",28,"false",0.561,0.771,11,-3.965,1,0.0385,0.00189,0.000223,0.115,0.365,90.972,4,2013,"Pop"
"245",2,"false",0.757,0.905,5,-6.771,0,0.0338,0.00252,0.00117,0.0357,0.624,125.001,4,1998,"Other"
"246",12,"false",0.735,0.747,7,-4.227,1,0.0614,0.026,1.73e-06,0.3,0.638,118.051,4,2020,"Pop"
"247",69,"false",0.695,0.582,4,-11.35,1,0.0651,0.297,0,0.123,0.892,122.433,4,1976,"Rock"
"248",70,"true",0.883,0.817,0,-5.414,1,0.235,0.601,0.00449,0.11,0.595,128.078,4,2014,"Pop"
